time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency
1617648060,49866.92,49838.79,49861.66,3.415,170338.98,49838.79,direct,,EUR
1617648120,49843.22,49821.78,49838.79,2.815,140319.81,49824.89,direct,,EUR
1617648180,49825.27,49794.63,49824.89,3.203,159530.97,49803.96,direct,,EUR
1617648240,49805.79,49760.35,49803.96,1.518,75580.19,49763.49,direct,,EUR
1617648300,49799.32,49760.3,49763.49,3.539,176214.92,49798.17,direct,,EUR
1617648360,49819.15,49786.56,49798.17,2.503,124674.87,49786.56,direct,,EUR
1617648420,49801.97,49785.76,49786.56,1.317,65604.99,49801.05,direct,,EUR
1617648480,49822.64,49797.92,49801.05,1.214,60475.79,49817.58,direct,,EUR
1617648540,49834.39,49809.81,49817.58,2.629,131044.65,49832.1,direct,,EUR
1617648600,49877.06,49828.96,49832.1,39.55,1972066.86,49846.4,direct,,EUR
1617648660,49853.03,49829.29,49846.4,3.359,167430.86,49838.54,direct,,EUR
1617648720,49842.68,49827.17,49838.54,3.332,166055.08,49837.15,direct,,EUR
1617648780,49860.0,49837.15,49837.15,3.9050000000000002,194705.59,49855.99,direct,,EUR
1617648840,49865.23,49852.31,49855.99,2.646,131934.69,49852.76,direct,,EUR
1617648900,49856.07,49846.19,49852.76,1.3719999999999999,68404.2,49848.06,direct,,EUR
1617648960,49851.98,49831.76,49848.06,2.899,144527.53,49834.13,direct,,EUR
1617649020,49835.41,49820.71,49834.13,2.103,104793.77,49825.99,direct,,EUR
1617649080,49853.57,49825.34,49825.99,1.659,82709.53,49847.94,direct,,EUR
1617649140,49857.97,49847.94,49847.94,3.004,149753.04,49855.4,direct,,EUR
1617649200,49875.18,49848.84,49855.4,7.955,396632.18,49848.85,direct,,EUR
1617649260,49856.88,49840.23,49848.85,2.044,101935.53,49851.43,direct,,EUR
1617649320,49855.0,49845.05,49851.43,6.127,305551.88,49852.51,direct,,EUR
1617649380,49873.08,49849.04,49852.51,2.928,145966.39,49872.74,direct,,EUR
1617649440,49874.8,49865.38,49872.74,3.592,179080.99,49870.48,direct,,EUR
1617649500,49870.79,49857.67,49870.48,3.018,150492.49,49865.0,direct,,EUR
1617649560,49891.22,49862.76,49865.0,1.432,71430.9,49889.31,direct,,EUR
1617649620,49929.76,49888.01,49889.31,8.003,399556.15,49920.19,direct,,EUR
1617649680,49928.6,49916.93,49920.19,1.7069999999999999,85222.35,49921.18,direct,,EUR
1617649740,49955.47,49916.41,49921.18,2.424,121065.7,49953.82,direct,,EUR
1617649800,49963.1,49951.21,49953.82,1.717,85798.2,49962.05,direct,,EUR
1617649860,49962.68,49929.14,49962.05,4.5760000000000005,228691.45,49929.59,direct,,EUR
1617649920,49944.2,49929.59,49929.59,0.0,0.0,49944.2,direct,,EUR
